episode_id,title,youtube_video_id,url,published_at
001,#1 Joel Smith: Order & Chaos in Training & Podcasting Pro Tips,IGXAL6BD5pE,https://www.youtube.com/watch?v=IGXAL6BD5pE,
002,#2 The Guiding Light For Our Business,frLl9RnUuuQ,https://www.youtube.com/watch?v=frLl9RnUuuQ,
003,#3 Jill Zimmerman & Katie St Clair: Marketing Pelvic Floor & Yielding In Plyometrics,J64GiQOWjDc,https://www.youtube.com/watch?v=J64GiQOWjDc,
004,"#4 Graeme Morris: Career Decisions, Back Surgery & Sprinting with Athletes",_sprYzOCRoU,https://www.youtube.com/watch?v=_sprYzOCRoU,
005,"#6 Keir Wenham Flatt on Branding, Building a Business & Making Money",Fpr5x4PePdE,https://www.youtube.com/watch?v=Fpr5x4PePdE,
006,"#7 Jeffrey Wolf on Systems, Stretching & Being The Flexibull",dguS6EccfIk,https://www.youtube.com/watch?v=dguS6EccfIk,
007,The DGR Podcast with The Flexibull: The Issue with Yoga,m7wYc49TBJM,https://www.youtube.com/watch?v=m7wYc49TBJM,
008,#8 with Chris Miah: Lessons from a Pro Fighter & Training the Combat Athlete,0R1s51UEqEk,https://www.youtube.com/watch?v=0R1s51UEqEk,
009,#9 - Jamie Smith on Building an S&C Empire,OiforIqbT80,https://www.youtube.com/watch?v=OiforIqbT80,
010,"#10 Tim Riley on Knee Pain, Biomechanics & Training Pro Athletes",vhhkWfKkO88,https://www.youtube.com/watch?v=vhhkWfKkO88,
011,#11 Jake Tuura: Patellar Tendon King,HGE8-ncLcrw,https://www.youtube.com/watch?v=HGE8-ncLcrw,
012,#12 with John 'The Glute' Noonan,jHniQOmflJI,https://www.youtube.com/watch?v=jHniQOmflJI,
013,#13 Matt McInnes Watson on Plyometrics,S3hDBcAp1PI,https://www.youtube.com/watch?v=S3hDBcAp1PI,
014,"#15 Daniel Back on Jump Science, Fast Eccentrics, & Hip vs Knee Dominance",d8uU1vuJiac,https://www.youtube.com/watch?v=d8uU1vuJiac,
015,#17 Lee Taft - The Speed Guy,jAylOhOqC4A,https://www.youtube.com/watch?v=jAylOhOqC4A,
016,#18 Mini Pod: The Inhale is the Fix,38qubnTZ5Lw,https://www.youtube.com/watch?v=38qubnTZ5Lw,
017,#19 Mini Pod: Yielding vs Stiff Plyos,VCisP3V1bko,https://www.youtube.com/watch?v=VCisP3V1bko,
018,#20 Mini Pod: Don't Believe What Your Clients Tell You!,SXqBuV0cshc,https://www.youtube.com/watch?v=SXqBuV0cshc,
019,Ben MC Conville - Pronation,-zn0j6UVpk8,https://www.youtube.com/watch?v=-zn0j6UVpk8,
020,"#21 Jonas Dodoo on SpeedWorks, Bum Before Back and Drill Conditioning",_oYWpcek2v4,https://www.youtube.com/watch?v=_oYWpcek2v4,
021,"Solo Pod: Q&A Swaybacks, Glutes & Tony Robbins",zkV4cJv68fY,https://www.youtube.com/watch?v=zkV4cJv68fY,
022,#23 Lachlan Wilmot - Athletes Authority,xluRp2I8QdA,https://www.youtube.com/watch?v=xluRp2I8QdA,
023,#24 Peter Malliaras on Achilles Tendinopathy,1kSt5aneN-E,https://www.youtube.com/watch?v=1kSt5aneN-E,
024,#25 Arm Swing & Muscle Testing Myths,IFe0zrPJ34w,https://www.youtube.com/watch?v=IFe0zrPJ34w,
025,"#26 John Kiely on Predictions, Placebo & Smoothness in Running",_Yg0Irhyow4,https://www.youtube.com/watch?v=_Yg0Irhyow4,
026,"#27 with Chris Leddy: Back Surgery, Rehab & DGR Interactive",XwQGiDPPf9c,https://www.youtube.com/watch?v=XwQGiDPPf9c,
027,"#28 Pain & Variability, Fly Wheel Training & Body Building for Athletes",BVRNCvTB4X0,https://www.youtube.com/watch?v=BVRNCvTB4X0,
028,#32 Luke Tulloch on Content Creation & Online Coaching,1ERRDldxaWY,https://www.youtube.com/watch?v=1ERRDldxaWY,
